Date,BCB_Commercial_Exports_Total,BCB_Commercial_Exports_Advances_on_Contracts,BCB_Commercial_Exports_Payment_Advance,BCB_Commercial_Exports_Others,BCB_Commercial_Imports,BCB_Commercial_Balance,BCB_Financial_Purchases,BCB_Financial_Sales,BCB_Financial_Balance,BCB_Balance
04/16/2018,741.64265618,68.22454184,83.18068192,590.23743242,547.06185918,194.58079699999996,2106.98128969,1520.1553860900003,586.8259035999995,781.4067005999995
04/17/2018,491.04906054,97.71576576,97.92269543,295.41059935000004,654.51207684,-163.46301629999994,1987.9391567500002,1850.3176859900004,137.62147075999974,-25.841545540000197
04/18/2018,834.33596195,189.78713943,203.10241761,441.44640490999996,800.83592189,33.50004005999995,2310.80566988,1479.6913022,831.11436768,864.6144077399999
04/19/2018,996.29166505,218.83713748,209.84968697,567.6048406,498.47060655,497.8210585,2164.30294331,1383.3820864399995,780.9208568700005,1278.7419153700005
04/20/2018,963.74240351,216.44362646,106.74331789,640.55545916,693.40453441,270.33786910000003,1811.0245882599997,1957.6598495599997,-146.6352612999999,123.70260780000012
04/23/2018,1108.78977101,313.47091448,149.62606338,645.6927931500002,766.00365964,342.78611137000007,1606.4541048400001,1276.24072342,330.21338142000013,672.9994927900002
04/24/2018,1069.2371001299998,141.65301837,157.43766058,770.1464211799998,807.3603200800001,261.87678004999975,2899.1951720699994,2853.0573826799996,46.13778938999985,308.0145694399996
04/25/2018,1640.98865079,536.28431586,319.94829482,784.7560401100001,992.02792234,648.96072845,2085.98856062,1497.1468705300001,588.8416900899999,1237.80241854
04/26/2018,1281.20652575,285.08085586,371.55654117,624.5691287200001,970.02220117,311.18432458000007,2041.27205284,2582.70648613,-541.43443329,-230.25010870999995
04/27/2018,2174.81661607,265.58813987,381.6962824,1527.5321937999997,792.0513378999999,1382.7652781699999,3092.0477631099993,2153.4642706900004,938.583492419999,2321.348770589999
04/30/2018,1149.4598279099998,89.71997464,542.34474613,517.3951071399998,214.39520791,935.0646199999999,1851.96698895,1468.12144283,383.8455461200001,1318.91016612
05/02/2018,1231.41759308,135.91883352,272.00935372,823.48940584,671.16357927,560.25401381,2253.00065245,2656.2591956500005,-403.25854320000053,156.99547060999942
05/03/2018,847.79046351,198.83600441,232.60236163,416.35209747,643.69325181,204.0972117,1449.09936622,1520.69887638,-71.59951015999991,132.4977015400001
05/04/2018,740.4689480400001,134.90985865,215.12956551,390.42952388000015,581.82644184,158.64250620000007,1544.9268942200001,1709.85085372,-164.9239594999999,-6.281453299999839
05/07/2018,1047.86030053,126.45852073,272.23593992,649.1658398799999,396.36831887,651.49198166,1814.8397483699998,2606.17207594,-791.3323275700002,-139.84034591000022
05/08/2018,690.2036902100001,119.8110691,177.28318413,393.1094369800001,491.07845410000004,199.12523611000006,2042.32733001,2342.97393833,-300.6466083199998,-101.52137220999975
05/09/2018,1041.29534233,171.96547567,161.43926538,707.89060128,543.32168713,497.97365520000005,2899.26350774,3011.2883075100003,-112.0247997700003,385.94885542999975
05/10/2018,609.20318031,139.21857222,130.32201069,339.6625974,750.4627843999999,-141.25960408999993,1786.3799237099997,1515.3932083900002,270.9867153199996,129.72711122999965
05/11/2018,1134.74665894,260.20398595,157.21293076,717.3297422300001,499.03747456,635.7091843800001,1983.67247275,2814.9478110100004,-831.2753382600004,-195.56615388000023
